neighbourhood_cleansed,Entire home/apt,Hotel room,Private room,Shared room,district_number
District 1,0.8411214953271028,0.0,0.1308411214953271,0.028037383177570093,1
District 2,0.9405532666274279,0.004708652148322542,0.05414949970570924,0.0005885815185403178,2
District 4,0.7108433734939759,0.0,0.2891566265060241,0.0,4
District 6,0.8433734939759037,0.0,0.1566265060240964,0.0,6
District 7,0.6108786610878661,0.0,0.35564853556485354,0.03347280334728033,7
District 9,0.9055555555555556,0.0,0.09444444444444444,0.0,9
District 10,0.7543859649122807,0.04678362573099415,0.18128654970760233,0.017543859649122806,10
District 11,0.8031746031746032,0.06031746031746032,0.1365079365079365,0.0,11
District 13,0.9135802469135802,0.0,0.08641975308641975,0.0,13
District 14,0.9367552703941339,0.0036663611365719525,0.05957836846929423,0.0,14
